aircraft,aircraftLabel,engine,engineLabel,maxAltitude,totalProduced
http://www.wikidata.org/entity/Q46397,McDonnell Douglas F/A-18 Hornet,http://www.wikidata.org/entity/Q947434,General Electric F404,15250,1480
http://www.wikidata.org/entity/Q794571,Sud-Aviation Lama,http://www.wikidata.org/entity/Q106255978,Artouste IIIB,13125,1450
http://www.wikidata.org/entity/Q140254,Messerschmitt Me.262,http://www.wikidata.org/entity/Q695801,Junkers Jumo 004,11450,1433
http://www.wikidata.org/entity/Q234371,Дассо Мираж III,http://www.wikidata.org/entity/Q923665,Atar,59000,1422
http://www.wikidata.org/entity/Q210338,Aichi E13A,http://www.wikidata.org/entity/Q64232662,Kinsei 43,8370,1418
http://www.wikidata.org/entity/Q62156,Антонов Ан-26,http://www.wikidata.org/entity/Q15052176,Ivchenko AI-24VT,24600,1403
http://www.wikidata.org/entity/Q62156,Антонов Ан-26,http://www.wikidata.org/entity/Q106295324,AI-24T,24600,1403
http://www.wikidata.org/entity/Q6478,Airbus A330,http://www.wikidata.org/entity/Q128862,Pratt & Whitney PW4000,41100,1378
http://www.wikidata.org/entity/Q6478,Airbus A330,http://www.wikidata.org/entity/Q1501579,General Electric CF6,41100,1378
http://www.wikidata.org/entity/Q6478,Airbus A330,http://www.wikidata.org/entity/Q9070485,Rolls-Royce Trent 700,41100,1378
http://www.wikidata.org/entity/Q337467,Антонов Ан-24,http://www.wikidata.org/entity/Q4053965,АИ-24,8400,1367
http://www.wikidata.org/entity/Q275031,Иљушин Ил-14,http://www.wikidata.org/entity/Q15057025,ASh-82T,6500,1348
http://www.wikidata.org/entity/Q192137,Су-25,http://www.wikidata.org/entity/Q4386273,Р-95Ш,17000,1320
http://www.wikidata.org/entity/Q696588,Fiat CR.32,http://www.wikidata.org/entity/Q15142425,A.30 R.A.,28871.4,1312
http://www.wikidata.org/entity/Q271559,Антонов Ан-12,http://www.wikidata.org/entity/Q15051324,AI-20K,10200,1248
http://www.wikidata.org/entity/Q271559,Антонов Ан-12,http://www.wikidata.org/entity/Q15051324,AI-20K,33500,1248
http://www.wikidata.org/entity/Q271559,Антонов Ан-12,http://www.wikidata.org/entity/Q15051327,AI-20M,10200,1248
http://www.wikidata.org/entity/Q271559,Антонов Ан-12,http://www.wikidata.org/entity/Q15051327,AI-20M,33500,1248
http://www.wikidata.org/entity/Q502126,Воут F-8 «Крусейдер»,http://www.wikidata.org/entity/Q1969611,J57,11700,1219
http://www.wikidata.org/entity/Q199570,МиГ-25,http://www.wikidata.org/entity/Q2551425,Р15Б-300,20700,1190
http://www.wikidata.org/entity/Q316321,Heinkel He 177,http://www.wikidata.org/entity/Q1157613,Daimler-Benz DB 605,8000,1169
http://www.wikidata.org/entity/Q842481,Northrop F-89 Scorpion,http://www.wikidata.org/entity/Q478153,Allison J35,15000,1052
http://www.wikidata.org/entity/Q505663,Яковлев Як-40,http://www.wikidata.org/entity/Q432654,АИ-25,6000,1011
http://www.wikidata.org/entity/Q6428,Boeing 787 Dreamliner,http://www.wikidata.org/entity/Q129136,Trent 1000,13100,1005
http://www.wikidata.org/entity/Q6428,Boeing 787 Dreamliner,http://www.wikidata.org/entity/Q1501584,General Electric GEnx,13100,1005
http://www.wikidata.org/entity/Q657597,Convair F-102 Delta Dagger,http://www.wikidata.org/entity/Q1969611,J57,16300,1000
http://www.wikidata.org/entity/Q6428,Boeing 787 Dreamliner,http://www.wikidata.org/entity/Q129136,Trent 1000,13100,972
http://www.wikidata.org/entity/Q6428,Boeing 787 Dreamliner,http://www.wikidata.org/entity/Q1501584,General Electric GEnx,13100,972
http://www.wikidata.org/entity/Q520964,English Electric Canberra,http://www.wikidata.org/entity/Q2164321,Rolls-Royce Avon,15000,950
http://www.wikidata.org/entity/Q2279968,Short Type 184,http://www.wikidata.org/entity/Q12057229,Maori,9000,936
http://www.wikidata.org/entity/Q2279968,Short Type 184,http://www.wikidata.org/entity/Q15105229,Maori Mk.II,9000,936
http://www.wikidata.org/entity/Q151384,Eurofighter Typhoon,http://www.wikidata.org/entity/Q1375030,Eurojet EJ200,16765,926
http://www.wikidata.org/entity/Q837405,Локхид F-94 «Старфайр»,http://www.wikidata.org/entity/Q477394,J33,15000,855
http://www.wikidata.org/entity/Q837405,Локхид F-94 «Старфайр»,http://www.wikidata.org/entity/Q7238735,J48,15000,855
http://www.wikidata.org/entity/Q686252,Junkers Ju 86,http://www.wikidata.org/entity/Q529545,Junkers Jumo 205,13000,840
http://www.wikidata.org/entity/Q686252,Junkers Ju 86,http://www.wikidata.org/entity/Q796376,BMW 132,13000,840
http://www.wikidata.org/entity/Q686252,Junkers Ju 86,http://www.wikidata.org/entity/Q917964,Bristol Pegasus,13000,840
http://www.wikidata.org/entity/Q686252,Junkers Ju 86,http://www.wikidata.org/entity/Q1529423,Junkers Jumo 207,13000,840
http://www.wikidata.org/entity/Q173680,Су-27,http://www.wikidata.org/entity/Q1322080,АЛ-31Ф,18500,809
http://www.wikidata.org/entity/Q170211,McDonnell F-101 Voodoo,http://www.wikidata.org/entity/Q1969611,J57,17800,807
http://www.wikidata.org/entity/Q332809,Грумман А-6 «Интрудер»,http://www.wikidata.org/entity/Q7238738,Pratt & Whitney J52,12400,793
http://www.wikidata.org/entity/Q155490,Lockheed P-3 Orion,http://www.wikidata.org/entity/Q1710103,Allison 501 family,28300,757
http://www.wikidata.org/entity/Q174534,Boeing B-52 Stratofortress,http://www.wikidata.org/entity/Q2107961,Pratt & Whitney JT3D,15000,744
http://www.wikidata.org/entity/Q1050763,De Havilland DH.89 Dragon Rapide,http://www.wikidata.org/entity/Q3703995,Gipsy Six,19350,731
http://www.wikidata.org/entity/Q34945,Грумман F-14 «Томкэт»,http://www.wikidata.org/entity/Q1369279,General Electric F110,18000,712
http://www.wikidata.org/entity/Q34945,Грумман F-14 «Томкэт»,http://www.wikidata.org/entity/Q2574100,TF30,18000,712
http://www.wikidata.org/entity/Q911001,Иљушин Ил-12,http://www.wikidata.org/entity/Q1050634,АШ-82,6700,663
http://www.wikidata.org/entity/Q190211,Douglas DC-3,http://www.wikidata.org/entity/Q113179801,Twin Wasp S1C3G,24100,607
http://www.wikidata.org/entity/Q381249,Aero 45,http://www.wikidata.org/entity/Q1258445,Avia M 332,4350,590
http://www.wikidata.org/entity/Q270990,General Dynamics F-111,http://www.wikidata.org/entity/Q2574100,TF30,18290,563
http://www.wikidata.org/entity/Q6437,Airbus A300,http://www.wikidata.org/entity/Q128862,Pratt & Whitney PW4000,11000,561
http://www.wikidata.org/entity/Q6437,Airbus A300,http://www.wikidata.org/entity/Q1501579,General Electric CF6,11000,561
http://www.wikidata.org/entity/Q6437,Airbus A300,http://www.wikidata.org/entity/Q2107978,Pratt & Whitney JT9D,11000,561
http://www.wikidata.org/entity/Q223315,Douglas DC-8,http://www.wikidata.org/entity/Q15624051,JT3D-3B,9150,556
http://www.wikidata.org/entity/Q150050,МиГ-31,http://www.wikidata.org/entity/Q1049409,Д-30,20600,519
http://www.wikidata.org/entity/Q181815,Ту-95,http://www.wikidata.org/entity/Q977186,НК-12,13716,500
http://www.wikidata.org/entity/Q313740,Дассо/Дорнье «Альфа джет»,http://www.wikidata.org/entity/Q106296136,Larzac 04,49200,480
http://www.wikidata.org/entity/Q309792,De Havilland Canada DHC-3 Otter,http://www.wikidata.org/entity/Q1852043,R-1340 Wasp,5460,466
http://www.wikidata.org/entity/Q309792,De Havilland Canada DHC-3 Otter,http://www.wikidata.org/entity/Q1852043,R-1340 Wasp,18800,466
http://www.wikidata.org/entity/Q1046250,PZL TS-11 Iskra,http://www.wikidata.org/entity/Q7955733,SO-3,11140,424
http://www.wikidata.org/entity/Q1046250,PZL TS-11 Iskra,http://www.wikidata.org/entity/Q7955733,SO-3,41000,424
http://www.wikidata.org/entity/Q6481,Airbus A340,http://www.wikidata.org/entity/Q129148,Rolls-Royce Trent 500,12500,377
http://www.wikidata.org/entity/Q6481,Airbus A340,http://www.wikidata.org/entity/Q129148,Rolls-Royce Trent 500,12525,377
http://www.wikidata.org/entity/Q6481,Airbus A340,http://www.wikidata.org/entity/Q3574620,CFM International CFM56,12500,377
http://www.wikidata.org/entity/Q6481,Airbus A340,http://www.wikidata.org/entity/Q3574620,CFM International CFM56,12525,377
http://www.wikidata.org/entity/Q428167,Let L-200 Morava,http://www.wikidata.org/entity/Q2545555,Walter Minor,6400,367
http://www.wikidata.org/entity/Q579939,Ан-32,http://www.wikidata.org/entity/Q4053965,АИ-24,9500,361
http://www.wikidata.org/entity/Q579939,Ан-32,http://www.wikidata.org/entity/Q15624814,Pratt & Whitney Canada PW150A,9500,361
http://www.wikidata.org/entity/Q1163407,Embraer EMB 120 Brasilia,http://www.wikidata.org/entity/Q15839356,PW118,9085,354
http://www.wikidata.org/entity/Q753808,Convair F-106 Delta Dart,http://www.wikidata.org/entity/Q688730,J75,17500,342
http://www.wikidata.org/entity/Q635687,McDonnell Douglas AV-8B Harrier II,http://www.wikidata.org/entity/Q822439,Rolls-Royce Pegasus,11580,337
http://www.wikidata.org/entity/Q607305,Ан-14,http://www.wikidata.org/entity/Q15052138,AI-14R,5000,332
http://www.wikidata.org/entity/Q607305,Ан-14,http://www.wikidata.org/entity/Q15052138,AI-14R,17060,332
http://www.wikidata.org/entity/Q607305,Ан-14,http://www.wikidata.org/entity/Q15052140,AI-14RF,5000,332
http://www.wikidata.org/entity/Q607305,Ан-14,http://www.wikidata.org/entity/Q15052140,AI-14RF,17060,332
http://www.wikidata.org/entity/Q285004,De Havilland Canada DHC-4 Caribou,http://www.wikidata.org/entity/Q106296602,R-2000-7M-2 Twin Wasp,24800,307
http://www.wikidata.org/entity/Q1245981,Do J Wal,http://www.wikidata.org/entity/Q796760,BMW VI,3000,300
http://www.wikidata.org/entity/Q1245981,Do J Wal,http://www.wikidata.org/entity/Q796760,BMW VI,9842.5,300
http://www.wikidata.org/entity/Q182575,Ильюшин Ил-62,http://www.wikidata.org/entity/Q1049409,Д-30,12000,292
http://www.wikidata.org/entity/Q257298,Fokker 100,http://www.wikidata.org/entity/Q1456020,Rolls-Royce RB.183 Tay,35000,283
http://www.wikidata.org/entity/Q725313,Hawker Siddeley Harrier,http://www.wikidata.org/entity/Q822439,Rolls-Royce Pegasus,15600,278
http://www.wikidata.org/entity/Q689357,Piaggio P.149,http://www.wikidata.org/entity/Q106295864,GO-480,5380,272
http://www.wikidata.org/entity/Q689357,Piaggio P.149,http://www.wikidata.org/entity/Q106295864,GO-480,19850,272
http://www.wikidata.org/entity/Q150088,Saab JAS 39 Gripen,http://www.wikidata.org/entity/Q947434,General Electric F404,15240,264
http://www.wikidata.org/entity/Q6471,Airbus A310,http://www.wikidata.org/entity/Q128862,Pratt & Whitney PW4000,12300,255
http://www.wikidata.org/entity/Q6471,Airbus A310,http://www.wikidata.org/entity/Q1501579,General Electric CF6,12300,255
http://www.wikidata.org/entity/Q6471,Airbus A310,http://www.wikidata.org/entity/Q2107978,Pratt & Whitney JT9D,12300,255
http://www.wikidata.org/entity/Q190973,Дассо «Рафаль»,http://www.wikidata.org/entity/Q585456,Snecma M88,16750,253
http://www.wikidata.org/entity/Q5830,Airbus A380,http://www.wikidata.org/entity/Q1342413,Engine Alliance GP7200,43000,251
http://www.wikidata.org/entity/Q5830,Airbus A380,http://www.wikidata.org/entity/Q9070485,Rolls-Royce Trent 700,43000,251
http://www.wikidata.org/entity/Q725319,Fokker F28 Fellowship,http://www.wikidata.org/entity/Q1456848,Rolls-Royce Spey,11000,241
http://www.wikidata.org/entity/Q182185,Lockheed JetStar,http://www.wikidata.org/entity/Q106296120,JT12A-8,37400,202
http://www.wikidata.org/entity/Q723296,Messerschmitt Me.323 Gigant,http://www.wikidata.org/entity/Q602185,Gnome et Rhône 14N,4000,201
http://www.wikidata.org/entity/Q1559612,PZL M28,http://www.wikidata.org/entity/Q37952633,PT6A-65B,7620,200
http://www.wikidata.org/entity/Q482600,KAI T-50 Golden Eagle,http://www.wikidata.org/entity/Q947434,General Electric F404,14630,200
http://www.wikidata.org/entity/Q1393155,Fairey Flycatcher,http://www.wikidata.org/entity/Q15139769,Mercury IIA,19000,196
http://www.wikidata.org/entity/Q1393155,Fairey Flycatcher,http://www.wikidata.org/entity/Q15513042,Jaguar IV,19000,196
http://www.wikidata.org/entity/Q29006,Arado Ar 65,http://www.wikidata.org/entity/Q796760,BMW VI,7600,194
http://www.wikidata.org/entity/Q29006,Arado Ar 65,http://www.wikidata.org/entity/Q796760,BMW VI,24935,194
http://www.wikidata.org/entity/Q1519116,T-25 Universal,http://www.wikidata.org/entity/Q677020,Lycoming O-540,16400,189
http://www.wikidata.org/entity/Q1519116,T-25 Universal,http://www.wikidata.org/entity/Q106295941,IO-540-K1D5,16400,189
http://www.wikidata.org/entity/Q1069038,NAMC YS-11,http://www.wikidata.org/entity/Q450478,RB.53 Dart,9450,182
http://www.wikidata.org/entity/Q160469,Ту-124,http://www.wikidata.org/entity/Q175481,Д-20,11700,165
http://www.wikidata.org/entity/Q212172,FMA IA 58 Pucará,http://www.wikidata.org/entity/Q824609,Astazou,10000,160
http://www.wikidata.org/entity/Q21024216,G.91T,http://www.wikidata.org/entity/Q21014445,Orpheus 803,12200,142
http://www.wikidata.org/entity/Q21024216,G.91T,http://www.wikidata.org/entity/Q21014445,Orpheus 803,40000,142
http://www.wikidata.org/entity/Q56881060,Dayton-Wright DH-4,http://www.wikidata.org/entity/Q1738041,Liberty L-12,19600,140
http://www.wikidata.org/entity/Q976898,Вега,http://www.wikidata.org/entity/Q3238292,Shenyang J-5,15000,132
http://www.wikidata.org/entity/Q976898,Вега,http://www.wikidata.org/entity/Q3238292,Shenyang J-5,22000,132
http://www.wikidata.org/entity/Q1867613,Lockheed Model 12 Electra Junior,http://www.wikidata.org/entity/Q1813047,Pratt & Whitney R-985,22900,130
http://www.wikidata.org/entity/Q539354,Percival Pembroke,http://www.wikidata.org/entity/Q106295716,Leonides Mark 127,22000,128
http://www.wikidata.org/entity/Q599891,Convair B-58 Hustler,http://www.wikidata.org/entity/Q631560,General Electric J79,19500,116
http://www.wikidata.org/entity/Q210384,British Aerospace Sea Harrier,http://www.wikidata.org/entity/Q822439,Rolls-Royce Pegasus,16000,111
http://www.wikidata.org/entity/Q794582,Sud-Aviation SA.321 Super-Frelon,http://www.wikidata.org/entity/Q847984,Turbomeca Turmo,3150,110
http://www.wikidata.org/entity/Q62167,Ил-86,http://www.wikidata.org/entity/Q3199367,НК-86,11000,106
http://www.wikidata.org/entity/Q607229,Ан-10,http://www.wikidata.org/entity/Q15051289,Kuznetsov NK-4,10000,104
http://www.wikidata.org/entity/Q607229,Ан-10,http://www.wikidata.org/entity/Q15051324,AI-20K,10000,104
http://www.wikidata.org/entity/Q1153321,Mitsubishi T-2,http://www.wikidata.org/entity/Q1627278,RT.172 Adour,50025,90
http://www.wikidata.org/entity/Q29006,Arado Ar 65,http://www.wikidata.org/entity/Q796760,BMW VI,7600,85
http://www.wikidata.org/entity/Q29006,Arado Ar 65,http://www.wikidata.org/entity/Q796760,BMW VI,24935,85
http://www.wikidata.org/entity/Q6496,Airbus A400M,http://www.wikidata.org/entity/Q1275666,Europrop TP400,11275,80
http://www.wikidata.org/entity/Q6496,Airbus A400M,http://www.wikidata.org/entity/Q1275666,Europrop TP400,37000,80
http://www.wikidata.org/entity/Q261384,Boeing E-3 Sentry,http://www.wikidata.org/entity/Q101142300,TF33-PW-100A,8788,68
http://www.wikidata.org/entity/Q261384,Boeing E-3 Sentry,http://www.wikidata.org/entity/Q101142300,TF33-PW-100A,29000,68
http://www.wikidata.org/entity/Q819076,Junkers Ju 290,http://www.wikidata.org/entity/Q630010,поршневой двигатель внутреннего сгорания,6000,65
http://www.wikidata.org/entity/Q184491,Lockheed F-117 Nighthawk,http://www.wikidata.org/entity/Q947434,General Electric F404,13700,64
http://www.wikidata.org/entity/Q9177196,Bombardier CRJ-1000,http://www.wikidata.org/entity/Q1501603,General Electric CF34,12500,63
http://www.wikidata.org/entity/Q18248779,C-95 Bandeirante,http://www.wikidata.org/entity/Q15637500,PT6A-27,27950,60
http://www.wikidata.org/entity/Q6492,Airbus A330 MRTT,http://www.wikidata.org/entity/Q128862,Pratt & Whitney PW4000,12600,55
http://www.wikidata.org/entity/Q6492,Airbus A330 MRTT,http://www.wikidata.org/entity/Q1501579,General Electric CF6,12600,55
http://www.wikidata.org/entity/Q6492,Airbus A330 MRTT,http://www.wikidata.org/entity/Q9070485,Rolls-Royce Trent 700,12600,55
http://www.wikidata.org/entity/Q723397,Fokker 70,http://www.wikidata.org/entity/Q1456020,Rolls-Royce RB.183 Tay,10668,48
http://www.wikidata.org/entity/Q5204316,DAR 9 Siniger,http://www.wikidata.org/entity/Q917172,Siemens & Halske Sh 14,4400,42
http://www.wikidata.org/entity/Q5204316,DAR 9 Siniger,http://www.wikidata.org/entity/Q917172,Siemens & Halske Sh 14,14436,42
http://www.wikidata.org/entity/Q5204316,DAR 9 Siniger,http://www.wikidata.org/entity/Q2545555,Walter Minor,4400,42
http://www.wikidata.org/entity/Q5204316,DAR 9 Siniger,http://www.wikidata.org/entity/Q2545555,Walter Minor,14436,42
http://www.wikidata.org/entity/Q672123,Junkers D.I,http://www.wikidata.org/entity/Q796517,BMW IIIa,19685,41
http://www.wikidata.org/entity/Q499185,А-50,http://www.wikidata.org/entity/Q615977,ПС-90А,12000,40
http://www.wikidata.org/entity/Q17978655,Regente 420L,http://www.wikidata.org/entity/Q15896396,IO-360-D,15810,40
http://www.wikidata.org/entity/Q1737305,Kawasaki C-1,http://www.wikidata.org/entity/Q106296134,Pratt & Whitney JT8D-9,39375,31
http://www.wikidata.org/entity/Q190114,Lockheed SR-71 Blackbird,http://www.wikidata.org/entity/Q2004495,Pratt & Whitney J58-P4,25908,29
http://www.wikidata.org/entity/Q190114,Lockheed SR-71 Blackbird,http://www.wikidata.org/entity/Q2004495,Pratt & Whitney J58-P4,25929,29
http://www.wikidata.org/entity/Q1520239,Piaggio PD.808,http://www.wikidata.org/entity/Q106296938,Viper Mk.526,13700,24
http://www.wikidata.org/entity/Q1520239,Piaggio PD.808,http://www.wikidata.org/entity/Q106296938,Viper Mk.526,45000,24
http://www.wikidata.org/entity/Q658682,CASA C-207 Azor,http://www.wikidata.org/entity/Q106295762,Hercules 730,26250,22
http://www.wikidata.org/entity/Q700131,Junkers Ju 90,http://www.wikidata.org/entity/Q796376,BMW 132,5750,18
http://www.wikidata.org/entity/Q890166,Boeing 314,http://www.wikidata.org/entity/Q1659797,R-2600 Twin Cyclone,6000,12
http://www.wikidata.org/entity/Q194455,Перспективный авиационный комплекс фронтовой авиации,http://www.wikidata.org/entity/Q1567667,АЛ-41Ф,20000,10
http://www.wikidata.org/entity/Q1050894,De Havilland Albatross,http://www.wikidata.org/entity/Q1052086,De Havilland Gipsy Twelve,17900,7
http://www.wikidata.org/entity/Q348525,Adam А500,http://www.wikidata.org/entity/Q29443370,TSIO-550E,25000,7
